File Name,File Format,Preservation Normalization Attempted,Preservation Normalization Failed,Preservation Conformance Check,Already in Preservation Format,Access Normalization Attempted,Access Normalization Failed,Already in Access Format,Access Conformance Check
RG456-05/RG456-05-06/RG456-05-06-03-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/674090df-1077-4d57-93cd-00f933f8b7b2/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/325d4243-65b0-462a-a1ef-76a31df3b2ea/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-14-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/ab9eb664-96d2-417c-8760-f0ab09805321/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/d0942db1-b72d-47af-93ce-dee369fd9afb/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-23-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/bb6f1812-89a0-4726-8bcf-6a906b7eabd1/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/3712dda6-171e-4754-bdff-db34122cea32/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-10-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/d140fb30-7c0b-47ed-b6f6-1e9d1e449afd/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/9efaa1a9-6213-47de-9c49-c0c8851bcdf7/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-24-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/90cef731-b395-49b4-ae6e-6807513bda60/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/8bd23ca0-c401-4c60-b9ba-b18059ab8582/",No,No,N/A
RG456-05/RG456-05-10/WOM_MLK_January_20.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/1290d116-ea87-4821-91bd-187702a0be5b/",No,Passed "https://archtorontomu.scholarsportal.info/task/571caa33-cd4e-464b-bb6a-00be9cf889c5/",No,Yes "https://archtorontomu.scholarsportal.info/task/121a5c56-8a86-40b9-a9e0-bb852dd4dd48/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/8a763771-7d54-4a7d-8440-f0e0f462792f/"
RG456-05/RG456-05-06/RG456-05-06-25-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/2201beec-2c9e-4e3b-8196-2ceb9ff6fe7f/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/9fc3c126-4d90-4a4e-8ee6-52ad24a50fb5/",No,No,N/A
RG456-05/RG456-05-07/RG456-05-07-009.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/bc54b762-86c0-47cf-bec1-8e3814612d15/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/6eeffc6e-9649-4c99-9b4b-21008b99c725/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-23-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/dd26464d-40a6-450d-a050-f2ea648ee1d8/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/890d6bec-cc4b-49dc-a1bb-3f7a42435155/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-21-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/06260f05-5a1e-4bf3-94b5-06c09ce6f625/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/8bbe2117-a386-45b6-942a-ae2984ba7a9b/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-04-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/50903137-37b8-47bc-9173-633bbf4dbbb1/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/54e4634e-5093-447d-a8fc-91990f9fdf03/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-20-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/6761ae23-ce68-45e4-914f-c1fda1b29518/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/fd404737-affc-4afc-9907-da9ae858baa0/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-13-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/92bf32e2-84b0-419b-a2ab-f5e6057c39a9/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/2b866145-eca2-47a1-a9c9-faac31fccb44/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-16-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/b64f9307-97ac-4955-831e-cd2a2c8b259a/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/bb211755-9560-480d-ba9e-53b9886e5c6f/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-18-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/28d23ffc-f063-45bb-9281-d120f21bcad9/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/5e4fc920-f35f-415a-8f1e-27f647331839/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-33-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/a3de96db-2c65-491d-82d3-2ad43a7df938/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/bddc046c-d40c-4782-be2d-d27ae5b21d8c/",No,No,N/A
RG456-05/RG456-05-07/RG456-05-07-005.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/6be67472-b473-460c-9567-68557de288b6/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/fb1deb5d-e06f-4ba8-8c63-eee16ef6f393/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-30-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/dff91969-6210-4a23-a52c-5fe538471385/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/6e6fd983-aba5-45ec-a0e1-395cda0ccc2e/",No,No,N/A
